Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,13.0,Austria,"11,524",,168,,"2,022","9,334",245,"1,280",19,"98,343","10,919",2020-04-04 00:58:18.013389
13.0,,Austria,"11,524",,168,,"2,022","9,334",245,"1,280",19,"98,343","10,919",2020-04-04 00:58:18.013389
,,Austria,"11,524",,168,,"2,022","9,334",245,"1,280",19,"98,343","10,919",2020-04-04 01:04:27.267094
,,Austria,"11,525",1.0,168,,"2,022","9,335",245,"1,280",19,"98,343","10,919",2020-04-04 01:09:31.910915
,,Austria,"11,525",1.0,168,,"2,022","9,335",245,"1,280",19,"98,343","10,919",2020-04-04 01:14:36.356913
,,Austria,"11,525",1.0,168,,"2,022","9,335",245,"1,280",19,"98,343","10,919",2020-04-04 01:19:40.873966
,,Austria,"11,525",1.0,168,,"2,022","9,335",245,"1,280",19,"98,343","10,919",2020-04-04 01:24:44.773985
,,Austria,"11,525",1.0,168,,"2,022","9,335",245,"1,280",19,"98,343","10,919",2020-04-04 01:29:48.924870
,,Austria,"11,525",1.0,168,,"2,022","9,335",245,"1,280",19,"98,343","10,919",2020-04-04 01:34:53.046987
,,Austria,"11,525",1.0,168,,"2,022","9,335",245,"1,280",19,"98,343","10,919",2020-04-04 01:39:57.245044
,,Austria,"11,525",1.0,168,,"2,022","9,335",245,"1,280",19,"98,343","10,919",2020-04-04 01:45:01.224374
,,Austria,"11,525",1.0,168,,"2,022","9,335",245,"1,280",19,"98,343","10,919",2020-04-04 01:50:05.334452
,,Austria,"11,525",1.0,168,,"2,022","9,335",245,"1,280",19,"98,343","10,919",2020-04-04 01:55:09.724467
,,Austria,"11,525",1.0,168,,"2,022","9,335",245,"1,280",19,"98,343","10,919",2020-04-04 02:00:13.762728
,,Austria,"11,544",20.0,168,,"2,022","9,354",245,"1,282",19,"98,343","10,919",2020-04-04 02:05:17.933671
,,Austria,"11,544",20.0,168,,"2,022","9,354",245,"1,282",19,"98,343","10,919",2020-04-04 02:10:21.490892
,,Austria,"11,544",20.0,168,,"2,022","9,354",245,"1,282",19,"98,343","10,919",2020-04-04 02:15:25.654397
,,Austria,"11,544",20.0,168,,"2,022","9,354",245,"1,282",19,"98,343","10,919",2020-04-04 02:20:29.781667
