Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,132.0,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 00:58:18.013389
132.0,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 00:58:18.013389
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 01:04:27.267094
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 01:09:31.910915
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 01:14:36.356913
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 01:19:40.873966
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 01:24:44.773985
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 01:29:48.924870
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 01:34:53.046987
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 01:39:57.245044
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 01:45:01.224374
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 01:50:05.334452
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 01:55:09.724467
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 02:00:13.762728
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 02:05:17.933671
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 02:10:21.490892
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 02:15:25.654397
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 02:20:29.781667
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 02:25:33.961495
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 02:30:38.021814
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 02:35:42.166126
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 02:40:46.240392
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 02:45:50.338725
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 02:50:54.535026
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 02:55:58.704356
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 03:01:02.862380
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 03:06:06.499314
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 03:11:10.980734
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 03:16:15.187790
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 03:21:19.365517
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 03:26:23.610950
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 03:31:27.856370
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 03:36:32.110722
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 03:41:36.371017
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 03:46:40.544393
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 03:51:44.811673
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 03:56:49.119949
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 04:01:53.476810
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 04:06:57.968253
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 04:12:01.739508
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 04:17:05.957812
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 04:22:10.183780
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 04:27:14.462893
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 04:32:18.743769
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 04:37:22.958682
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 04:42:27.210307
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 04:47:31.516070
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 04:52:35.776560
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 04:57:40.142831
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 05:02:44.500676
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 05:07:48.618312
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 05:12:52.886542
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 05:17:57.204328
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 05:23:01.682765
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 05:28:06.060275
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 05:33:10.486081
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 05:38:14.828330
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 05:43:19.177383
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 05:48:23.453790
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 05:53:27.755756
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 05:58:32.143548
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 06:03:36.457601
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 06:08:40.964568
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 06:13:45.300584
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 06:18:49.713431
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 06:23:53.862539
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 06:28:58.309875
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 06:34:02.606354
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 06:39:06.983057
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 06:44:11.357405
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 06:49:15.701560
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 06:54:19.988720
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 06:59:24.371691
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 07:04:28.777480
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 07:09:33.095962
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 07:14:37.559243
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 07:19:41.901833
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 07:24:46.114033
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 07:29:50.587466
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 07:34:54.877214
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 07:39:59.188119
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 07:45:03.498819
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 07:50:07.872567
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 07:55:12.158356
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 08:00:16.597732
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 08:05:21.054389
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 08:10:25.598047
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 08:15:30.025858
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 08:20:34.416416
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 08:25:38.990689
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 08:30:43.420659
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 08:35:47.870639
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 08:40:52.361130
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 08:45:56.719918
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 08:51:00.980276
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 08:56:05.342012
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 09:01:09.974928
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 09:06:14.215607
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 09:11:18.523344
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 09:16:23.141165
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 09:21:27.562783
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 09:26:31.868044
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 09:31:36.275953
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 09:36:40.657518
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 09:41:45.085791
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 09:46:50.458957
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 09:51:55.007261
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 09:56:59.529333
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 10:02:04.020390
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 10:07:08.822708
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 10:12:13.128091
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 10:17:17.807501
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 10:22:21.728466
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 10:27:26.261627
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 10:32:31.199924
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 10:37:35.603730
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 10:42:39.950827
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 10:47:44.444104
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 10:52:48.903519
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 10:57:53.372188
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 11:02:57.837668
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 11:08:02.444459
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 11:13:06.966926
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 11:18:11.457363
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 11:23:15.927821
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 11:28:20.676651
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 11:33:25.153565
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 11:38:29.645101
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 11:43:34.277537
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 11:48:39.162063
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 11:53:43.636590
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 11:58:48.161075
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 12:03:52.440826
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 12:08:56.902695
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 12:14:01.388383
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 12:19:05.961492
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 12:24:10.542887
,,Barbados,51,,,,,51,,177,,382,"1,329",2020-04-04 12:29:15.162136
,,Barbados,52,1.0,,,,52,,181,,382,"1,329",2020-04-04 12:34:19.752827
,,Barbados,52,1.0,,,,52,,181,,382,"1,329",2020-04-04 12:39:24.328821
,,Barbados,52,1.0,,,,52,,181,,382,"1,329",2020-04-04 12:44:28.911935
,,Barbados,52,1.0,,,,52,,181,,382,"1,329",2020-04-04 12:49:33.402634
,,Barbados,52,1.0,,,,52,,181,,382,"1,329",2020-04-04 12:54:38.003163
,,Barbados,52,1.0,,,,52,,181,,382,"1,329",2020-04-04 12:59:42.611535
,,Barbados,52,1.0,,,,52,,181,,382,"1,329",2020-04-04 13:04:47.159136
,,Barbados,52,1.0,,,,52,,181,,382,"1,329",2020-04-04 13:09:51.638941
,,Barbados,52,1.0,,,,52,,181,,382,"1,329",2020-04-04 13:14:56.171918
,,Barbados,52,1.0,,,,52,,181,,382,"1,329",2020-04-04 13:20:00.671371
,,Barbados,52,1.0,,,,52,,181,,382,"1,329",2020-04-04 13:25:05.163948
,,Barbados,52,1.0,,,,52,,181,,382,"1,329",2020-04-04 13:30:09.566612
,,Barbados,52,1.0,,,,52,,181,,382,"1,329",2020-04-04 13:35:14.086651
,,Barbados,52,1.0,,,,52,,181,,382,"1,329",2020-04-04 13:40:18.474848
,,Barbados,52,1.0,,,,52,,181,,382,"1,329",2020-04-04 13:45:22.835783
,,Barbados,52,1.0,,,,52,,181,,382,"1,329",2020-04-04 13:50:27.432455
