Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,68.0,Bosnia and Herzegovina,579,,17,,27,535,4,176,5,"4,696","1,431",2020-04-04 00:58:18.013389
68.0,,Bosnia and Herzegovina,579,,17,,27,535,4,176,5,"4,696","1,431",2020-04-04 00:58:18.013389
,,Bosnia and Herzegovina,579,,17,,27,535,4,176,5,"4,696","1,431",2020-04-04 01:04:27.267094
,,Bosnia and Herzegovina,579,,17,,27,535,4,176,5,"4,696","1,431",2020-04-04 01:09:31.910915
,,Bosnia and Herzegovina,579,,17,,27,535,4,176,5,"4,696","1,431",2020-04-04 01:14:36.356913
,,Bosnia and Herzegovina,579,,17,,27,535,4,176,5,"4,696","1,431",2020-04-04 01:19:40.873966
,,Bosnia and Herzegovina,579,,17,,27,535,4,176,5,"4,696","1,431",2020-04-04 01:24:44.773985
,,Bosnia and Herzegovina,579,,17,,27,535,4,176,5,"4,696","1,431",2020-04-04 01:29:48.924870
,,Bosnia and Herzegovina,579,,17,,27,535,4,176,5,"4,696","1,431",2020-04-04 01:34:53.046987
,,Bosnia and Herzegovina,579,,17,,27,535,4,176,5,"4,696","1,431",2020-04-04 01:39:57.245044
,,Bosnia and Herzegovina,579,,17,,27,535,4,176,5,"4,696","1,431",2020-04-04 01:45:01.224374
,,Bosnia and Herzegovina,579,,17,,27,535,4,176,5,"4,696","1,431",2020-04-04 01:50:05.334452
,,Bosnia and Herzegovina,579,,17,,27,535,4,176,5,"4,696","1,431",2020-04-04 01:55:09.724467
,,Bosnia and Herzegovina,579,,17,,27,535,4,176,5,"4,696","1,431",2020-04-04 02:00:13.762728
,,Bosnia and Herzegovina,579,,17,,27,535,4,176,5,"4,696","1,431",2020-04-04 02:05:17.933671
,,Bosnia and Herzegovina,579,,17,,27,535,4,176,5,"4,696","1,431",2020-04-04 02:10:21.490892
,,Bosnia and Herzegovina,579,,17,,27,535,4,176,5,"4,696","1,431",2020-04-04 02:15:25.654397
,,Bosnia and Herzegovina,579,,17,,27,535,4,176,5,"4,696","1,431",2020-04-04 02:20:29.781667
,,Bosnia and Herzegovina,579,,17,,27,535,4,176,5,"4,696","1,431",2020-04-04 02:25:33.961495
,,Bosnia and Herzegovina,604,25.0,18,1.0,27,559,4,184,5,"4,696","1,431",2020-04-04 02:30:38.021814
,,Bosnia and Herzegovina,604,25.0,18,1.0,27,559,4,184,5,"4,696","1,431",2020-04-04 02:35:42.166126
,,Bosnia and Herzegovina,604,25.0,18,1.0,27,559,4,184,5,"4,696","1,431",2020-04-04 02:40:46.240392
,,Bosnia and Herzegovina,604,25.0,18,1.0,27,559,4,184,5,"4,696","1,431",2020-04-04 02:45:50.338725
,,Bosnia and Herzegovina,604,25.0,18,1.0,27,559,4,184,5,"4,696","1,431",2020-04-04 02:50:54.535026
,,Bosnia and Herzegovina,604,25.0,18,1.0,27,559,4,184,5,"4,696","1,431",2020-04-04 02:55:58.704356
,,Bosnia and Herzegovina,604,25.0,18,1.0,27,559,4,184,5,"4,696","1,431",2020-04-04 03:01:02.862380
,,Bosnia and Herzegovina,604,25.0,18,1.0,27,559,4,184,5,"4,696","1,431",2020-04-04 03:06:06.499314
,,Bosnia and Herzegovina,604,25.0,18,1.0,27,559,4,184,5,"4,696","1,431",2020-04-04 03:11:10.980734
,,Bosnia and Herzegovina,604,25.0,18,1.0,27,559,4,184,5,"4,696","1,431",2020-04-04 03:16:15.187790
,,Bosnia and Herzegovina,604,25.0,18,1.0,27,559,4,184,5,"4,696","1,431",2020-04-04 03:21:19.365517
,,Bosnia and Herzegovina,613,34.0,18,1.0,27,568,4,187,5,"4,696","1,431",2020-04-04 03:26:23.610950
,,Bosnia and Herzegovina,613,34.0,18,1.0,27,568,4,187,5,"4,696","1,431",2020-04-04 03:31:27.856370
,,Bosnia and Herzegovina,613,34.0,18,1.0,27,568,4,187,5,"4,696","1,431",2020-04-04 03:36:32.110722
,,Bosnia and Herzegovina,613,34.0,18,1.0,27,568,4,187,5,"4,696","1,431",2020-04-04 03:41:36.371017
,,Bosnia and Herzegovina,613,34.0,18,1.0,27,568,4,187,5,"4,696","1,431",2020-04-04 03:46:40.544393
