Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,24.0,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 00:58:18.013389
24.0,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 00:58:18.013389
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 01:04:27.267094
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 01:09:31.910915
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 01:14:36.356913
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 01:19:40.873966
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 01:24:44.773985
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 01:29:48.924870
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 01:34:53.046987
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 01:39:57.245044
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 01:45:01.224374
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 01:50:05.334452
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 01:55:09.724467
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 02:00:13.762728
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 02:05:17.933671
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 02:10:21.490892
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 02:15:25.654397
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 02:20:29.781667
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 02:25:33.961495
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 02:30:38.021814
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 02:35:42.166126
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 02:40:46.240392
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 02:45:50.338725
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 02:50:54.535026
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 02:55:58.704356
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 03:01:02.862380
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 03:06:06.499314
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 03:11:10.980734
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 03:16:15.187790
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 03:21:19.365517
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 03:26:23.610950
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 03:31:27.856370
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 03:36:32.110722
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 03:41:36.371017
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 03:46:40.544393
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 03:51:44.811673
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 03:56:49.119949
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 04:01:53.476810
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 04:06:57.968253
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 04:12:01.739508
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 04:17:05.957812
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 04:22:10.183780
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 04:27:14.462893
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 04:32:18.743769
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 04:37:22.958682
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 04:42:27.210307
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 04:47:31.516070
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 04:52:35.776560
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 04:57:40.142831
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 05:02:44.500676
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 05:07:48.618312
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 05:12:52.886542
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 05:17:57.204328
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 05:23:01.682765
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 05:28:06.060275
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 05:33:10.486081
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 05:38:14.828330
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 05:43:19.177383
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 05:48:23.453790
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 05:53:27.755756
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 05:58:32.143548
,,Denmark,"3,757",,139,,"1,193","2,425",153,649,24,"40,863","7,055",2020-04-04 06:03:36.457601
,,Denmark,"4,077",320.0,161,22.0,"1,283","2,633",142,704,28,"40,863","7,055",2020-04-04 06:08:40.964568
,,Denmark,"4,077",320.0,161,22.0,"1,283","2,633",142,704,28,"40,863","7,055",2020-04-04 06:13:45.300584
,,Denmark,"4,077",320.0,161,22.0,"1,283","2,633",142,704,28,"40,863","7,055",2020-04-04 06:18:49.713431
,,Denmark,"4,077",320.0,161,22.0,"1,283","2,633",142,704,28,"40,863","7,055",2020-04-04 06:23:53.862539
