Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,104.0,Faeroe Islands,179,,,,91,88,1.0,"3,663",,"4,653","95,225",2020-04-04 00:58:18.013389
104.0,,Faeroe Islands,179,,,,91,88,1.0,"3,663",,"4,653","95,225",2020-04-04 00:58:18.013389
,,Faeroe Islands,179,,,,91,88,1.0,"3,663",,"4,653","95,225",2020-04-04 01:04:27.267094
,,Faeroe Islands,179,,,,91,88,1.0,"3,663",,"4,653","95,225",2020-04-04 01:09:31.910915
,,Faeroe Islands,179,,,,91,88,1.0,"3,663",,"4,653","95,225",2020-04-04 01:14:36.356913
,,Faeroe Islands,179,,,,91,88,1.0,"3,663",,"4,653","95,225",2020-04-04 01:19:40.873966
,,Faeroe Islands,179,,,,91,88,1.0,"3,663",,"4,653","95,225",2020-04-04 01:24:44.773985
,,Faeroe Islands,179,,,,91,88,1.0,"3,663",,"4,653","95,225",2020-04-04 01:29:48.924870
,,Faeroe Islands,179,,,,91,88,1.0,"3,663",,"4,653","95,225",2020-04-04 01:34:53.046987
,,Faeroe Islands,179,,,,91,88,1.0,"3,663",,"4,653","95,225",2020-04-04 01:39:57.245044
,,Faeroe Islands,179,,,,91,88,1.0,"3,663",,"4,653","95,225",2020-04-04 01:45:01.224374
,,Faeroe Islands,179,,,,91,88,1.0,"3,663",,"4,653","95,225",2020-04-04 01:50:05.334452
,,Faeroe Islands,179,,,,91,88,1.0,"3,663",,"4,653","95,225",2020-04-04 01:55:09.724467
,,Faeroe Islands,179,,,,91,88,1.0,"3,663",,"4,653","95,225",2020-04-04 02:00:13.762728
,,Faeroe Islands,179,,,,91,88,1.0,"3,663",,"4,653","95,225",2020-04-04 02:05:17.933671
,,Faeroe Islands,179,,,,91,88,1.0,"3,663",,"4,653","95,225",2020-04-04 02:10:21.490892
,,Faeroe Islands,179,,,,91,88,1.0,"3,663",,"4,653","95,225",2020-04-04 02:15:25.654397
,,Faeroe Islands,179,,,,91,88,1.0,"3,663",,"4,653","95,225",2020-04-04 02:20:29.781667
,,Faeroe Islands,179,,,,91,88,1.0,"3,663",,"4,653","95,225",2020-04-04 02:25:33.961495
,,Faeroe Islands,179,,,,91,88,1.0,"3,663",,"4,653","95,225",2020-04-04 02:30:38.021814
,,Faeroe Islands,179,,,,91,88,1.0,"3,663",,"4,653","95,225",2020-04-04 02:35:42.166126
,,Faeroe Islands,179,,,,91,88,1.0,"3,663",,"4,653","95,225",2020-04-04 02:40:46.240392
,,Faeroe Islands,179,,,,91,88,1.0,"3,663",,"4,653","95,225",2020-04-04 02:45:50.338725
,,Faeroe Islands,179,,,,91,88,1.0,"3,663",,"4,653","95,225",2020-04-04 02:50:54.535026
,,Faeroe Islands,179,,,,91,88,1.0,"3,663",,"4,653","95,225",2020-04-04 02:55:58.704356
,,Faeroe Islands,181,2.0,,,93,88,2.0,"3,704",,"4,800","98,234",2020-04-04 03:01:02.862380
,,Faeroe Islands,181,2.0,,,93,88,2.0,"3,704",,"4,800","98,234",2020-04-04 03:06:06.499314
,,Faeroe Islands,181,2.0,,,93,88,2.0,"3,704",,"4,800","98,234",2020-04-04 03:11:10.980734
,,Faeroe Islands,181,2.0,,,93,88,2.0,"3,704",,"4,800","98,234",2020-04-04 03:16:15.187790
,,Faeroe Islands,181,2.0,,,93,88,2.0,"3,704",,"4,800","98,234",2020-04-04 03:21:19.365517
,,Faeroe Islands,181,2.0,,,93,88,2.0,"3,704",,"4,800","98,234",2020-04-04 03:26:23.610950
,,Faeroe Islands,181,2.0,,,93,88,2.0,"3,704",,"4,800","98,234",2020-04-04 03:31:27.856370
,,Faeroe Islands,181,2.0,,,93,88,2.0,"3,704",,"4,800","98,234",2020-04-04 03:36:32.110722
,,Faeroe Islands,181,2.0,,,93,88,2.0,"3,704",,"4,800","98,234",2020-04-04 03:41:36.371017
,,Faeroe Islands,181,2.0,,,93,88,2.0,"3,704",,"4,800","98,234",2020-04-04 03:46:40.544393
,,Faeroe Islands,181,2.0,,,93,88,2.0,"3,704",,"4,800","98,234",2020-04-04 03:51:44.811673
,,Faeroe Islands,181,2.0,,,93,88,2.0,"3,704",,"4,800","98,234",2020-04-04 03:56:49.119949
,,Faeroe Islands,181,2.0,,,93,88,2.0,"3,704",,"4,800","98,234",2020-04-04 04:01:53.476810
,,Faeroe Islands,181,2.0,,,93,88,2.0,"3,704",,"4,800","98,234",2020-04-04 04:06:57.968253
