Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,40.0,Finland,"1,615",,20,,300,"1,295",72,291,4,"26,500","4,783",2020-04-04 00:58:18.013389
40.0,,Finland,"1,615",,20,,300,"1,295",72,291,4,"26,500","4,783",2020-04-04 00:58:18.013389
,,Finland,"1,615",,20,,300,"1,295",72,291,4,"26,500","4,783",2020-04-04 01:04:27.267094
,,Finland,"1,615",,20,,300,"1,295",72,291,4,"26,500","4,783",2020-04-04 01:09:31.910915
,,Finland,"1,615",,20,,300,"1,295",72,291,4,"26,500","4,783",2020-04-04 01:14:36.356913
,,Finland,"1,615",,20,,300,"1,295",72,291,4,"26,500","4,783",2020-04-04 01:19:40.873966
,,Finland,"1,615",,20,,300,"1,295",72,291,4,"26,500","4,783",2020-04-04 01:24:44.773985
,,Finland,"1,615",,20,,300,"1,295",72,291,4,"26,500","4,783",2020-04-04 01:29:48.924870
,,Finland,"1,615",,20,,300,"1,295",72,291,4,"26,500","4,783",2020-04-04 01:34:53.046987
,,Finland,"1,615",,20,,300,"1,295",72,291,4,"26,500","4,783",2020-04-04 01:39:57.245044
,,Finland,"1,615",,20,,300,"1,295",72,291,4,"26,500","4,783",2020-04-04 01:45:01.224374
,,Finland,"1,615",,20,,300,"1,295",72,291,4,"26,500","4,783",2020-04-04 01:50:05.334452
,,Finland,"1,615",,20,,300,"1,295",72,291,4,"26,500","4,783",2020-04-04 01:55:09.724467
,,Finland,"1,615",,20,,300,"1,295",72,291,4,"26,500","4,783",2020-04-04 02:00:13.762728
,,Finland,"1,615",,20,,300,"1,295",72,291,4,"26,500","4,783",2020-04-04 02:05:17.933671
,,Finland,"1,615",,20,,300,"1,295",72,291,4,"26,500","4,783",2020-04-04 02:10:21.490892
,,Finland,"1,615",,20,,300,"1,295",72,291,4,"26,500","4,783",2020-04-04 02:15:25.654397
,,Finland,"1,615",,20,,300,"1,295",72,291,4,"26,500","4,783",2020-04-04 02:20:29.781667
,,Finland,"1,615",,20,,300,"1,295",72,291,4,"26,500","4,783",2020-04-04 02:25:33.961495
,,Finland,"1,615",,20,,300,"1,295",72,291,4,"26,500","4,783",2020-04-04 02:30:38.021814
