Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,5.0,France,"82,165",,"6,507",,"14,008","61,650","6,662","1,259",100,"224,254","3,436",2020-04-04 00:58:18.013389
5.0,,France,"82,165",,"6,507",,"14,008","61,650","6,662","1,259",100,"224,254","3,436",2020-04-04 00:58:18.013389
,,France,"82,165",,"6,507",,"14,008","61,650","6,662","1,259",100,"224,254","3,436",2020-04-04 01:04:27.267094
,,France,"82,165",,"6,507",,"14,008","61,650","6,662","1,259",100,"224,254","3,436",2020-04-04 01:09:31.910915
,,France,"82,165",,"6,507",,"14,008","61,650","6,662","1,259",100,"224,254","3,436",2020-04-04 01:14:36.356913
,,France,"82,165",,"6,507",,"14,008","61,650","6,662","1,259",100,"224,254","3,436",2020-04-04 01:19:40.873966
,,France,"82,165",,"6,507",,"14,008","61,650","6,662","1,259",100,"224,254","3,436",2020-04-04 01:24:44.773985
,,France,"82,165",,"6,507",,"14,008","61,650","6,662","1,259",100,"224,254","3,436",2020-04-04 01:29:48.924870
,,France,"82,165",,"6,507",,"14,008","61,650","6,662","1,259",100,"224,254","3,436",2020-04-04 01:34:53.046987
,,France,"82,165",,"6,507",,"14,008","61,650","6,662","1,259",100,"224,254","3,436",2020-04-04 01:39:57.245044
,,France,"82,165",,"6,507",,"14,008","61,650","6,662","1,259",100,"224,254","3,436",2020-04-04 01:45:01.224374
,,France,"82,165",,"6,507",,"14,008","61,650","6,662","1,259",100,"224,254","3,436",2020-04-04 01:50:05.334452
,,France,"82,165",,"6,507",,"14,008","61,650","6,662","1,259",100,"224,254","3,436",2020-04-04 01:55:09.724467
,,France,"82,165",,"6,507",,"14,008","61,650","6,662","1,259",100,"224,254","3,436",2020-04-04 02:00:13.762728
,,France,"82,165",,"6,507",,"14,008","61,650","6,662","1,259",100,"224,254","3,436",2020-04-04 02:05:17.933671
,,France,"82,165",,"6,507",,"14,008","61,650","6,662","1,259",100,"224,254","3,436",2020-04-04 02:10:21.490892
,,France,"82,165",,"6,507",,"14,008","61,650","6,662","1,259",100,"224,254","3,436",2020-04-04 02:15:25.654397
,,France,"82,165",,"6,507",,"14,008","61,650","6,662","1,259",100,"224,254","3,436",2020-04-04 02:20:29.781667
,,France,"82,165",,"6,507",,"14,008","61,650","6,662","1,259",100,"224,254","3,436",2020-04-04 02:25:33.961495
,,France,"82,165",,"6,507",,"14,008","61,650","6,662","1,259",100,"224,254","3,436",2020-04-04 02:30:38.021814
,,France,"82,165",,"6,507",,"14,008","61,650","6,662","1,259",100,"224,254","3,436",2020-04-04 02:35:42.166126
,,France,"82,165",,"6,507",,"14,008","61,650","6,662","1,259",100,"224,254","3,436",2020-04-04 02:40:46.240392
,,France,"82,165",,"6,507",,"14,008","61,650","6,662","1,259",100,"224,254","3,436",2020-04-04 02:45:50.338725
,,France,"82,165",,"6,507",,"14,008","61,650","6,662","1,259",100,"224,254","3,436",2020-04-04 02:50:54.535026
,,France,"82,165",,"6,507",,"14,008","61,650","6,662","1,259",100,"224,254","3,436",2020-04-04 02:55:58.704356
,,France,"82,165",,"6,507",,"14,008","61,650","6,662","1,259",100,"224,254","3,436",2020-04-04 03:01:02.862380
