Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,4.0,Germany,"91,159",,"1,275",,"24,575","65,309","3,936","1,088",15,"918,460","10,962",2020-04-04 00:58:18.013389
4.0,,Germany,"91,159",,"1,275",,"24,575","65,309","3,936","1,088",15,"918,460","10,962",2020-04-04 00:58:18.013389
,,Germany,"91,159",,"1,275",,"24,575","65,309","3,936","1,088",15,"918,460","10,962",2020-04-04 01:04:27.267094
,,Germany,"91,159",,"1,275",,"24,575","65,309","3,936","1,088",15,"918,460","10,962",2020-04-04 01:09:31.910915
,,Germany,"91,159",,"1,275",,"24,575","65,309","3,936","1,088",15,"918,460","10,962",2020-04-04 01:14:36.356913
,,Germany,"91,159",,"1,275",,"24,575","65,309","3,936","1,088",15,"918,460","10,962",2020-04-04 01:19:40.873966
,,Germany,"91,159",,"1,275",,"24,575","65,309","3,936","1,088",15,"918,460","10,962",2020-04-04 01:24:44.773985
,,Germany,"91,159",,"1,275",,"24,575","65,309","3,936","1,088",15,"918,460","10,962",2020-04-04 01:29:48.924870
,,Germany,"91,159",,"1,275",,"24,575","65,309","3,936","1,088",15,"918,460","10,962",2020-04-04 01:34:53.046987
,,Germany,"91,159",,"1,275",,"24,575","65,309","3,936","1,088",15,"918,460","10,962",2020-04-04 01:39:57.245044
,,Germany,"91,159",,"1,275",,"24,575","65,309","3,936","1,088",15,"918,460","10,962",2020-04-04 01:45:01.224374
,,Germany,"91,159",,"1,275",,"24,575","65,309","3,936","1,088",15,"918,460","10,962",2020-04-04 01:50:05.334452
,,Germany,"91,159",,"1,275",,"24,575","65,309","3,936","1,088",15,"918,460","10,962",2020-04-04 01:55:09.724467
,,Germany,"91,159",,"1,275",,"24,575","65,309","3,936","1,088",15,"918,460","10,962",2020-04-04 02:00:13.762728
,,Germany,"91,159",,"1,275",,"24,575","65,309","3,936","1,088",15,"918,460","10,962",2020-04-04 02:05:17.933671
,,Germany,"91,159",,"1,275",,"24,575","65,309","3,936","1,088",15,"918,460","10,962",2020-04-04 02:10:21.490892
,,Germany,"91,159",,"1,275",,"24,575","65,309","3,936","1,088",15,"918,460","10,962",2020-04-04 02:15:25.654397
,,Germany,"91,159",,"1,275",,"24,575","65,309","3,936","1,088",15,"918,460","10,962",2020-04-04 02:20:29.781667
,,Germany,"91,159",,"1,275",,"24,575","65,309","3,936","1,088",15,"918,460","10,962",2020-04-04 02:25:33.961495
,,Germany,"91,159",,"1,275",,"24,575","65,309","3,936","1,088",15,"918,460","10,962",2020-04-04 02:30:38.021814
,,Germany,"91,159",,"1,275",,"24,575","65,309","3,936","1,088",15,"918,460","10,962",2020-04-04 02:35:42.166126
,,Germany,"91,159",,"1,275",,"24,575","65,309","3,936","1,088",15,"918,460","10,962",2020-04-04 02:40:46.240392
