Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,168.0,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 00:58:18.013389
168.0,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 00:58:18.013389
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 01:04:27.267094
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 01:09:31.910915
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 01:14:36.356913
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 01:19:40.873966
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 01:24:44.773985
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 01:29:48.924870
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 01:34:53.046987
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 01:39:57.245044
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 01:45:01.224374
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 01:50:05.334452
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 01:55:09.724467
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 02:00:13.762728
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 02:05:17.933671
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 02:10:21.490892
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 02:15:25.654397
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 02:20:29.781667
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 02:25:33.961495
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 02:30:38.021814
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 02:35:42.166126
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 02:40:46.240392
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 02:45:50.338725
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 02:50:54.535026
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 02:55:58.704356
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 03:01:02.862380
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 03:06:06.499314
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 03:11:10.980734
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 03:16:15.187790
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 03:21:19.365517
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 03:26:23.610950
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 03:31:27.856370
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 03:36:32.110722
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 03:41:36.371017
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 03:46:40.544393
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 03:51:44.811673
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 03:56:49.119949
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 04:01:53.476810
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 04:06:57.968253
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 04:12:01.739508
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 04:17:05.957812
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 04:22:10.183780
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 04:27:14.462893
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 04:32:18.743769
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 04:37:22.958682
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 04:42:27.210307
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 04:47:31.516070
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 04:52:35.776560
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 04:57:40.142831
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 05:02:44.500676
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 05:07:48.618312
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 05:12:52.886542
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 05:17:57.204328
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 05:23:01.682765
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 05:28:06.060275
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 05:33:10.486081
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 05:38:14.828330
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 05:43:19.177383
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 05:48:23.453790
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 05:53:27.755756
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 05:58:32.143548
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 06:03:36.457601
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 06:08:40.964568
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 06:13:45.300584
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 06:18:49.713431
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 06:23:53.862539
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 06:28:58.309875
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 06:34:02.606354
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 06:39:06.983057
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 06:44:11.357405
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 06:49:15.701560
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 06:54:19.988720
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 06:59:24.371691
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 07:04:28.777480
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 07:09:33.095962
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 07:14:37.559243
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 07:19:41.901833
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 07:24:46.114033
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 07:29:50.587466
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 07:34:54.877214
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 07:39:59.188119
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 07:45:03.498819
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 07:50:07.872567
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 07:55:12.158356
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 08:00:16.597732
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 08:05:21.054389
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 08:10:25.598047
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 08:15:30.025858
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 08:20:34.416416
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 08:25:38.990689
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 08:30:43.420659
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 08:35:47.870639
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 08:40:52.361130
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 08:45:56.719918
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 08:51:00.980276
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 08:56:05.342012
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 09:01:09.974928
,,Grenada,12,,,,,12,2,107,,45,400,2020-04-04 09:06:14.215607
