Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,6.0,Iran,"53,183",,"3,294",,"17,935","31,954","4,035",633,39,"80,000",952,2020-04-04 00:58:18.013389
6.0,,Iran,"53,183",,"3,294",,"17,935","31,954","4,035",633,39,"80,000",952,2020-04-04 00:58:18.013389
,,Iran,"53,183",,"3,294",,"17,935","31,954","4,035",633,39,"80,000",952,2020-04-04 01:04:27.267094
,,Iran,"53,183",,"3,294",,"17,935","31,954","4,035",633,39,"80,000",952,2020-04-04 01:09:31.910915
,,Iran,"53,183",,"3,294",,"17,935","31,954","4,035",633,39,"80,000",952,2020-04-04 01:14:36.356913
,,Iran,"53,183",,"3,294",,"17,935","31,954","4,035",633,39,"80,000",952,2020-04-04 01:19:40.873966
,,Iran,"53,183",,"3,294",,"17,935","31,954","4,035",633,39,"80,000",952,2020-04-04 01:24:44.773985
,,Iran,"53,183",,"3,294",,"17,935","31,954","4,035",633,39,"80,000",952,2020-04-04 01:29:48.924870
,,Iran,"53,183",,"3,294",,"17,935","31,954","4,035",633,39,"80,000",952,2020-04-04 01:34:53.046987
,,Iran,"53,183",,"3,294",,"17,935","31,954","4,035",633,39,"80,000",952,2020-04-04 01:39:57.245044
,,Iran,"53,183",,"3,294",,"17,935","31,954","4,035",633,39,"80,000",952,2020-04-04 01:45:01.224374
,,Iran,"53,183",,"3,294",,"17,935","31,954","4,035",633,39,"80,000",952,2020-04-04 01:50:05.334452
,,Iran,"53,183",,"3,294",,"17,935","31,954","4,035",633,39,"80,000",952,2020-04-04 01:55:09.724467
,,Iran,"53,183",,"3,294",,"17,935","31,954","4,035",633,39,"80,000",952,2020-04-04 02:00:13.762728
,,Iran,"53,183",,"3,294",,"17,935","31,954","4,035",633,39,"80,000",952,2020-04-04 02:05:17.933671
,,Iran,"53,183",,"3,294",,"17,935","31,954","4,035",633,39,"80,000",952,2020-04-04 02:10:21.490892
,,Iran,"53,183",,"3,294",,"17,935","31,954","4,035",633,39,"80,000",952,2020-04-04 02:15:25.654397
,,Iran,"53,183",,"3,294",,"17,935","31,954","4,035",633,39,"80,000",952,2020-04-04 02:20:29.781667
,,Iran,"53,183",,"3,294",,"17,935","31,954","4,035",633,39,"80,000",952,2020-04-04 02:25:33.961495
,,Iran,"53,183",,"3,294",,"17,935","31,954","4,035",633,39,"80,000",952,2020-04-04 02:30:38.021814
,,Iran,"53,183",,"3,294",,"17,935","31,954","4,035",633,39,"80,000",952,2020-04-04 02:35:42.166126
,,Iran,"53,183",,"3,294",,"17,935","31,954","4,035",633,39,"80,000",952,2020-04-04 02:40:46.240392
,,Iran,"53,183",,"3,294",,"17,935","31,954","4,035",633,39,"80,000",952,2020-04-04 02:45:50.338725
,,Iran,"53,183",,"3,294",,"17,935","31,954","4,035",633,39,"80,000",952,2020-04-04 02:50:54.535026
,,Iran,"53,183",,"3,294",,"17,935","31,954","4,035",633,39,"80,000",952,2020-04-04 02:55:58.704356
