Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,21.0,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 00:58:18.013389
21.0,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 00:58:18.013389
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 01:04:27.267094
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 01:09:31.910915
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 01:14:36.356913
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 01:19:40.873966
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 01:24:44.773985
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 01:29:48.924870
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 01:34:53.046987
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 01:39:57.245044
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 01:45:01.224374
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 01:50:05.334452
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 01:55:09.724467
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 02:00:13.762728
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 02:05:17.933671
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 02:10:21.490892
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 02:15:25.654397
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 02:20:29.781667
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 02:25:33.961495
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 02:30:38.021814
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 02:35:42.166126
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 02:40:46.240392
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 02:45:50.338725
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 02:50:54.535026
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 02:55:58.704356
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 03:01:02.862380
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 03:06:06.499314
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 03:11:10.980734
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 03:16:15.187790
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 03:21:19.365517
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 03:26:23.610950
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 03:31:27.856370
,,Ireland,"4,273",,120,,25,"4,128",148,865,24,"30,213","6,119",2020-04-04 03:36:32.110722
