Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,2.0,Italy,"119,827",,"14,681",,"19,758","85,388","4,068","1,982",243,"619,849","10,252",2020-04-04 00:58:18.013389
2.0,,Italy,"119,827",,"14,681",,"19,758","85,388","4,068","1,982",243,"619,849","10,252",2020-04-04 00:58:18.013389
,,Italy,"119,827",,"14,681",,"19,758","85,388","4,068","1,982",243,"619,849","10,252",2020-04-04 01:04:27.267094
,,Italy,"119,827",,"14,681",,"19,758","85,388","4,068","1,982",243,"619,849","10,252",2020-04-04 01:09:31.910915
,,Italy,"119,827",,"14,681",,"19,758","85,388","4,068","1,982",243,"619,849","10,252",2020-04-04 01:14:36.356913
,,Italy,"119,827",,"14,681",,"19,758","85,388","4,068","1,982",243,"619,849","10,252",2020-04-04 01:19:40.873966
,,Italy,"119,827",,"14,681",,"19,758","85,388","4,068","1,982",243,"619,849","10,252",2020-04-04 01:24:44.773985
,,Italy,"119,827",,"14,681",,"19,758","85,388","4,068","1,982",243,"619,849","10,252",2020-04-04 01:29:48.924870
,,Italy,"119,827",,"14,681",,"19,758","85,388","4,068","1,982",243,"619,849","10,252",2020-04-04 01:34:53.046987
,,Italy,"119,827",,"14,681",,"19,758","85,388","4,068","1,982",243,"619,849","10,252",2020-04-04 01:39:57.245044
,,Italy,"119,827",,"14,681",,"19,758","85,388","4,068","1,982",243,"619,849","10,252",2020-04-04 01:45:01.224374
,,Italy,"119,827",,"14,681",,"19,758","85,388","4,068","1,982",243,"619,849","10,252",2020-04-04 01:50:05.334452
,,Italy,"119,827",,"14,681",,"19,758","85,388","4,068","1,982",243,"619,849","10,252",2020-04-04 01:55:09.724467
,,Italy,"119,827",,"14,681",,"19,758","85,388","4,068","1,982",243,"619,849","10,252",2020-04-04 02:00:13.762728
