Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,110.0,Kyrgyzstan,144,14.0,1,,6,137,5,22,0.2,"9,618","1,474",2020-04-04 00:58:18.013389
110.0,,Kyrgyzstan,144,14.0,1,,6,137,5,22,0.2,"9,618","1,474",2020-04-04 00:58:18.013389
,,Kyrgyzstan,144,14.0,1,,6,137,5,22,0.2,"9,618","1,474",2020-04-04 01:04:27.267094
,,Kyrgyzstan,144,14.0,1,,6,137,5,22,0.2,"9,618","1,474",2020-04-04 01:09:31.910915
,,Kyrgyzstan,144,14.0,1,,6,137,5,22,0.2,"9,618","1,474",2020-04-04 01:14:36.356913
,,Kyrgyzstan,144,14.0,1,,6,137,5,22,0.2,"9,618","1,474",2020-04-04 01:19:40.873966
,,Kyrgyzstan,144,14.0,1,,6,137,5,22,0.2,"9,618","1,474",2020-04-04 01:24:44.773985
,,Kyrgyzstan,144,14.0,1,,6,137,5,22,0.2,"9,618","1,474",2020-04-04 01:29:48.924870
,,Kyrgyzstan,144,14.0,1,,6,137,5,22,0.2,"9,618","1,474",2020-04-04 01:34:53.046987
,,Kyrgyzstan,144,14.0,1,,6,137,5,22,0.2,"9,618","1,474",2020-04-04 01:39:57.245044
,,Kyrgyzstan,144,14.0,1,,6,137,5,22,0.2,"9,618","1,474",2020-04-04 01:45:01.224374
,,Kyrgyzstan,144,14.0,1,,6,137,5,22,0.2,"9,618","1,474",2020-04-04 01:50:05.334452
,,Kyrgyzstan,144,14.0,1,,6,137,5,22,0.2,"9,618","1,474",2020-04-04 01:55:09.724467
,,Kyrgyzstan,144,14.0,1,,6,137,5,22,0.2,"9,618","1,474",2020-04-04 02:00:13.762728
,,Kyrgyzstan,144,14.0,1,,6,137,5,22,0.2,"9,618","1,474",2020-04-04 02:05:17.933671
,,Kyrgyzstan,144,14.0,1,,6,137,5,22,0.2,"9,618","1,474",2020-04-04 02:10:21.490892
,,Kyrgyzstan,144,14.0,1,,6,137,5,22,0.2,"9,618","1,474",2020-04-04 02:15:25.654397
,,Kyrgyzstan,144,14.0,1,,6,137,5,22,0.2,"9,618","1,474",2020-04-04 02:20:29.781667
,,Kyrgyzstan,144,14.0,1,,6,137,5,22,0.2,"9,618","1,474",2020-04-04 02:25:33.961495
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 02:30:38.021814
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 02:35:42.166126
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 02:40:46.240392
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 02:45:50.338725
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 02:50:54.535026
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 02:55:58.704356
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 03:01:02.862380
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 03:06:06.499314
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 03:11:10.980734
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 03:16:15.187790
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 03:21:19.365517
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 03:26:23.610950
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 03:31:27.856370
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 03:36:32.110722
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 03:41:36.371017
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 03:46:40.544393
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 03:51:44.811673
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 03:56:49.119949
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 04:01:53.476810
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 04:06:57.968253
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 04:12:01.739508
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 04:17:05.957812
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 04:22:10.183780
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 04:27:14.462893
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 04:32:18.743769
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 04:37:22.958682
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 04:42:27.210307
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 04:47:31.516070
,,Kyrgyzstan,144,14.0,1,,9,134,5,22,0.2,"9,618","1,474",2020-04-04 04:52:35.776560
