Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,173.0,Laos,10,,,,,10,,1,,437,60,2020-04-04 00:58:18.013389
173.0,,Laos,10,,,,,10,,1,,437,60,2020-04-04 00:58:18.013389
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 01:04:27.267094
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 01:09:31.910915
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 01:14:36.356913
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 01:19:40.873966
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 01:24:44.773985
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 01:29:48.924870
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 01:34:53.046987
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 01:39:57.245044
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 01:45:01.224374
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 01:50:05.334452
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 01:55:09.724467
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 02:00:13.762728
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 02:05:17.933671
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 02:10:21.490892
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 02:15:25.654397
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 02:20:29.781667
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 02:25:33.961495
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 02:30:38.021814
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 02:35:42.166126
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 02:40:46.240392
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 02:45:50.338725
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 02:50:54.535026
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 02:55:58.704356
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 03:01:02.862380
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 03:06:06.499314
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 03:11:10.980734
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 03:16:15.187790
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 03:21:19.365517
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 03:26:23.610950
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 03:31:27.856370
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 03:36:32.110722
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 03:41:36.371017
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 03:46:40.544393
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 03:51:44.811673
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 03:56:49.119949
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 04:01:53.476810
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 04:06:57.968253
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 04:12:01.739508
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 04:17:05.957812
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 04:22:10.183780
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 04:27:14.462893
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 04:32:18.743769
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 04:37:22.958682
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 04:42:27.210307
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 04:47:31.516070
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 04:52:35.776560
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 04:57:40.142831
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 05:02:44.500676
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 05:07:48.618312
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 05:12:52.886542
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 05:17:57.204328
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 05:23:01.682765
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 05:28:06.060275
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 05:33:10.486081
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 05:38:14.828330
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 05:43:19.177383
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 05:48:23.453790
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 05:53:27.755756
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 05:58:32.143548
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 06:03:36.457601
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 06:08:40.964568
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 06:13:45.300584
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 06:18:49.713431
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 06:23:53.862539
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 06:28:58.309875
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 06:34:02.606354
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 06:39:06.983057
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 06:44:11.357405
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 06:49:15.701560
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 06:54:19.988720
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 06:59:24.371691
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 07:04:28.777480
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 07:09:33.095962
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 07:14:37.559243
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 07:19:41.901833
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 07:24:46.114033
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 07:29:50.587466
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 07:34:54.877214
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 07:39:59.188119
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 07:45:03.498819
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 07:50:07.872567
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 07:55:12.158356
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 08:00:16.597732
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 08:05:21.054389
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 08:10:25.598047
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 08:15:30.025858
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 08:20:34.416416
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 08:25:38.990689
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 08:30:43.420659
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 08:35:47.870639
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 08:40:52.361130
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 08:45:56.719918
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 08:51:00.980276
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 08:56:05.342012
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 09:01:09.974928
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 09:06:14.215607
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 09:11:18.523344
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 09:16:23.141165
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 09:21:27.562783
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 09:26:31.868044
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 09:31:36.275953
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 09:36:40.657518
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 09:41:45.085791
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 09:46:50.458957
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 09:51:55.007261
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 09:56:59.529333
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 10:02:04.020390
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 10:07:08.822708
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 10:12:13.128091
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 10:17:17.807501
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 10:22:21.728466
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 10:27:26.261627
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 10:32:31.199924
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 10:37:35.603730
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 10:42:39.950827
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 10:47:44.444104
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 10:52:48.903519
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 10:57:53.372188
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 11:02:57.837668
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 11:08:02.444459
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 11:13:06.966926
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 11:18:11.457363
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 11:23:15.927821
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 11:28:20.676651
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 11:33:25.153565
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 11:38:29.645101
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 11:43:34.277537
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 11:48:39.162063
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 11:53:43.636590
,,Laos,10,,,,,10,,1,,437,60,2020-04-04 11:58:48.161075
