Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,62.0,Lithuania,771,75.0,9,,7,755,11,283,3,"18,432","6,771",2020-04-04 00:58:18.013389
62.0,,Lithuania,771,75.0,9,,7,755,11,283,3,"18,432","6,771",2020-04-04 00:58:18.013389
,,Lithuania,771,75.0,9,,7,755,11,283,3,"18,432","6,771",2020-04-04 01:04:27.267094
,,Lithuania,771,75.0,9,,7,755,11,283,3,"18,432","6,771",2020-04-04 01:09:31.910915
,,Lithuania,771,75.0,9,,7,755,11,283,3,"18,432","6,771",2020-04-04 01:14:36.356913
,,Lithuania,771,75.0,9,,7,755,11,283,3,"18,432","6,771",2020-04-04 01:19:40.873966
,,Lithuania,771,75.0,9,,7,755,11,283,3,"18,432","6,771",2020-04-04 01:24:44.773985
,,Lithuania,771,75.0,9,,7,755,11,283,3,"18,432","6,771",2020-04-04 01:29:48.924870
,,Lithuania,771,75.0,9,,7,755,11,283,3,"18,432","6,771",2020-04-04 01:34:53.046987
,,Lithuania,771,75.0,9,,7,755,11,283,3,"18,432","6,771",2020-04-04 01:39:57.245044
,,Lithuania,771,75.0,9,,7,755,11,283,3,"18,432","6,771",2020-04-04 01:45:01.224374
,,Lithuania,771,75.0,9,,7,755,11,283,3,"18,432","6,771",2020-04-04 01:50:05.334452
,,Lithuania,771,75.0,9,,7,755,11,283,3,"18,432","6,771",2020-04-04 01:55:09.724467
,,Lithuania,771,75.0,9,,7,755,11,283,3,"18,432","6,771",2020-04-04 02:00:13.762728
,,Lithuania,771,75.0,9,,7,755,11,283,3,"18,432","6,771",2020-04-04 02:05:17.933671
,,Lithuania,771,75.0,9,,7,755,11,283,3,"18,432","6,771",2020-04-04 02:10:21.490892
,,Lithuania,771,75.0,9,,7,755,11,283,3,"18,432","6,771",2020-04-04 02:15:25.654397
,,Lithuania,771,75.0,9,,7,755,11,283,3,"18,432","6,771",2020-04-04 02:20:29.781667
,,Lithuania,771,75.0,9,,7,755,11,283,3,"18,432","6,771",2020-04-04 02:25:33.961495
,,Lithuania,771,75.0,9,,7,755,11,283,3,"18,432","6,771",2020-04-04 02:30:38.021814
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 02:35:42.166126
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 02:40:46.240392
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 02:45:50.338725
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 02:50:54.535026
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 02:55:58.704356
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 03:01:02.862380
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 03:06:06.499314
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 03:11:10.980734
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 03:16:15.187790
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 03:21:19.365517
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 03:26:23.610950
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 03:31:27.856370
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 03:36:32.110722
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 03:41:36.371017
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 03:46:40.544393
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 03:51:44.811673
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 03:56:49.119949
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 04:01:53.476810
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 04:06:57.968253
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 04:12:01.739508
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 04:17:05.957812
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 04:22:10.183780
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 04:27:14.462893
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 04:32:18.743769
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 04:37:22.958682
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 04:42:27.210307
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 04:47:31.516070
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 04:52:35.776560
,,Lithuania,771,75.0,9,,7,755,11,283,3,"21,376","7,852",2020-04-04 04:57:40.142831
