Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,28.0,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 00:58:18.013389
28.0,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 00:58:18.013389
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 01:04:27.267094
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 01:09:31.910915
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 01:14:36.356913
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 01:19:40.873966
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 01:24:44.773985
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 01:29:48.924870
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 01:34:53.046987
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 01:39:57.245044
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 01:45:01.224374
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 01:50:05.334452
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 01:55:09.724467
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 02:00:13.762728
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 02:05:17.933671
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 02:10:21.490892
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 02:15:25.654397
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 02:20:29.781667
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 02:25:33.961495
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 02:30:38.021814
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 02:35:42.166126
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 02:40:46.240392
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 02:45:50.338725
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 02:50:54.535026
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 02:55:58.704356
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 03:01:02.862380
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 03:06:06.499314
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 03:11:10.980734
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 03:16:15.187790
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 03:21:19.365517
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 03:26:23.610950
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 03:31:27.856370
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 03:36:32.110722
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 03:41:36.371017
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 03:46:40.544393
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 03:51:44.811673
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 03:56:49.119949
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 04:01:53.476810
,,Malaysia,"3,333",,53,,827,"2,453",108,103,2,"47,723","1,474",2020-04-04 04:06:57.968253
,,Malaysia,"3,483",150.0,57,4.0,915,"2,511",99,108,2,"49,570","1,532",2020-04-04 04:12:01.739508
,,Malaysia,"3,483",150.0,57,4.0,915,"2,511",99,108,2,"49,570","1,532",2020-04-04 04:17:05.957812
,,Malaysia,"3,483",150.0,57,4.0,915,"2,511",99,108,2,"49,570","1,532",2020-04-04 04:22:10.183780
,,Malaysia,"3,483",150.0,57,4.0,915,"2,511",99,108,2,"49,570","1,532",2020-04-04 04:27:14.462893
,,Malaysia,"3,483",150.0,57,4.0,915,"2,511",99,108,2,"49,570","1,532",2020-04-04 04:32:18.743769
,,Malaysia,"3,483",150.0,57,4.0,915,"2,511",99,108,2,"49,570","1,532",2020-04-04 04:37:22.958682
,,Malaysia,"3,483",150.0,57,4.0,915,"2,511",99,108,2,"49,570","1,532",2020-04-04 04:42:27.210307
,,Malaysia,"3,483",150.0,57,4.0,915,"2,511",99,108,2,"49,570","1,532",2020-04-04 04:47:31.516070
,,Malaysia,"3,483",150.0,57,4.0,915,"2,511",99,108,2,"49,570","1,532",2020-04-04 04:52:35.776560
,,Malaysia,"3,483",150.0,57,4.0,915,"2,511",99,108,2,"49,570","1,532",2020-04-04 04:57:40.142831
,,Malaysia,"3,483",150.0,57,4.0,915,"2,511",99,108,2,"49,570","1,532",2020-04-04 05:02:44.500676
,,Malaysia,"3,483",150.0,57,4.0,915,"2,511",99,108,2,"49,570","1,532",2020-04-04 05:07:48.618312
,,Malaysia,"3,483",150.0,57,4.0,915,"2,511",99,108,2,"49,570","1,532",2020-04-04 05:12:52.886542
,,Malaysia,"3,483",150.0,57,4.0,915,"2,511",99,108,2,"49,570","1,532",2020-04-04 05:17:57.204328
,,Malaysia,"3,483",150.0,57,4.0,915,"2,511",99,108,2,"49,570","1,532",2020-04-04 05:23:01.682765
,,Malaysia,"3,483",150.0,57,4.0,915,"2,511",99,108,2,"49,570","1,532",2020-04-04 05:28:06.060275
,,Malaysia,"3,483",150.0,57,4.0,915,"2,511",99,108,2,"49,570","1,532",2020-04-04 05:33:10.486081
,,Malaysia,"3,483",150.0,57,4.0,915,"2,511",99,108,2,"49,570","1,532",2020-04-04 05:38:14.828330
,,Malaysia,"3,483",150.0,57,4.0,915,"2,511",99,108,2,"49,570","1,532",2020-04-04 05:43:19.177383
,,Malaysia,"3,483",150.0,57,4.0,915,"2,511",99,108,2,"49,570","1,532",2020-04-04 05:48:23.453790
