Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,61.0,Morocco,791,,48,,57,686,1,21,1,"3,910",106,2020-04-04 00:58:18.013389
61.0,,Morocco,791,,48,,57,686,1,21,1,"3,910",106,2020-04-04 00:58:18.013389
,,Morocco,791,,48,,57,686,1,21,1,"3,910",106,2020-04-04 01:04:27.267094
,,Morocco,791,,48,,57,686,1,21,1,"3,910",106,2020-04-04 01:09:31.910915
,,Morocco,791,,48,,57,686,1,21,1,"3,910",106,2020-04-04 01:14:36.356913
,,Morocco,791,,48,,57,686,1,21,1,"3,910",106,2020-04-04 01:19:40.873966
,,Morocco,791,,48,,57,686,1,21,1,"3,910",106,2020-04-04 01:24:44.773985
,,Morocco,791,,48,,57,686,1,21,1,"3,910",106,2020-04-04 01:29:48.924870
,,Morocco,791,,48,,57,686,1,21,1,"3,910",106,2020-04-04 01:34:53.046987
,,Morocco,791,,48,,57,686,1,21,1,"3,910",106,2020-04-04 01:39:57.245044
,,Morocco,791,,48,,57,686,1,21,1,"3,910",106,2020-04-04 01:45:01.224374
,,Morocco,791,,48,,57,686,1,21,1,"3,910",106,2020-04-04 01:50:05.334452
,,Morocco,791,,48,,57,686,1,21,1,"3,910",106,2020-04-04 01:55:09.724467
,,Morocco,791,,48,,57,686,1,21,1,"3,910",106,2020-04-04 02:00:13.762728
,,Morocco,791,,48,,57,686,1,21,1,"3,910",106,2020-04-04 02:05:17.933671
,,Morocco,791,,48,,57,686,1,21,1,"3,910",106,2020-04-04 02:10:21.490892
,,Morocco,791,,48,,57,686,1,21,1,"3,910",106,2020-04-04 02:15:25.654397
,,Morocco,791,,48,,57,686,1,21,1,"3,910",106,2020-04-04 02:20:29.781667
,,Morocco,791,,48,,57,686,1,21,1,"3,910",106,2020-04-04 02:25:33.961495
,,Morocco,844,53.0,50,2.0,59,735,1,23,1,"4,026",109,2020-04-04 02:30:38.021814
,,Morocco,844,53.0,50,2.0,59,735,1,23,1,"4,026",109,2020-04-04 02:35:42.166126
,,Morocco,844,53.0,50,2.0,59,735,1,23,1,"4,026",109,2020-04-04 02:40:46.240392
,,Morocco,844,53.0,50,2.0,59,735,1,23,1,"4,026",109,2020-04-04 02:45:50.338725
,,Morocco,844,53.0,50,2.0,59,735,1,23,1,"4,026",109,2020-04-04 02:50:54.535026
,,Morocco,844,53.0,50,2.0,59,735,1,23,1,"4,026",109,2020-04-04 02:55:58.704356
,,Morocco,844,53.0,50,2.0,59,735,1,23,1,"4,026",109,2020-04-04 03:01:02.862380
,,Morocco,844,53.0,50,2.0,59,735,1,23,1,"4,026",109,2020-04-04 03:06:06.499314
,,Morocco,844,53.0,50,2.0,59,735,1,23,1,"4,026",109,2020-04-04 03:11:10.980734
,,Morocco,844,53.0,50,2.0,59,735,1,23,1,"4,026",109,2020-04-04 03:16:15.187790
,,Morocco,844,53.0,50,2.0,59,735,1,23,1,"4,026",109,2020-04-04 03:21:19.365517
,,Morocco,844,53.0,50,2.0,59,735,1,23,1,"4,026",109,2020-04-04 03:26:23.610950
