Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,11.0,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"46,810","2,732",2020-04-04 00:58:18.013389
11.0,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"46,810","2,732",2020-04-04 00:58:18.013389
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"46,810","2,732",2020-04-04 01:04:27.267094
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 01:09:31.910915
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 01:14:36.356913
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 01:19:40.873966
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 01:24:44.773985
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 01:29:48.924870
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 01:34:53.046987
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 01:39:57.245044
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 01:45:01.224374
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 01:50:05.334452
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 01:55:09.724467
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 02:00:13.762728
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 02:05:17.933671
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 02:10:21.490892
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 02:15:25.654397
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 02:20:29.781667
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 02:25:33.961495
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 02:30:38.021814
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 02:35:42.166126
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 02:40:46.240392
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 02:45:50.338725
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 02:50:54.535026
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 02:55:58.704356
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 03:01:02.862380
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 03:06:06.499314
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 03:11:10.980734
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 03:16:15.187790
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 03:21:19.365517
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 03:26:23.610950
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 03:31:27.856370
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 03:36:32.110722
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 03:41:36.371017
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 03:46:40.544393
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 03:51:44.811673
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 03:56:49.119949
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 04:01:53.476810
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 04:06:57.968253
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 04:12:01.739508
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 04:17:05.957812
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 04:22:10.183780
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 04:27:14.462893
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 04:32:18.743769
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 04:37:22.958682
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 04:42:27.210307
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 04:47:31.516070
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 04:52:35.776560
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 04:57:40.142831
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 05:02:44.500676
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 05:07:48.618312
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 05:12:52.886542
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 05:17:57.204328
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 05:23:01.682765
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 05:28:06.060275
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 05:33:10.486081
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 05:38:14.828330
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 05:43:19.177383
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 05:48:23.453790
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 05:53:27.755756
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 05:58:32.143548
,,Netherlands,"15,723",,"1,487",,250,"13,986","1,324",918,87,"75,415","4,401",2020-04-04 06:03:36.457601
,,Netherlands,"16,627",904.0,"1,651",164.0,250,"14,726","1,324",970,96,"75,415","4,401",2020-04-04 06:08:40.964568
,,Netherlands,"16,627",904.0,"1,651",164.0,250,"14,726","1,324",970,96,"75,415","4,401",2020-04-04 06:13:45.300584
,,Netherlands,"16,627",904.0,"1,651",164.0,250,"14,726","1,324",970,96,"75,415","4,401",2020-04-04 06:18:49.713431
,,Netherlands,"16,627",904.0,"1,651",164.0,250,"14,726","1,324",970,96,"75,415","4,401",2020-04-04 06:23:53.862539
,,Netherlands,"16,627",904.0,"1,651",164.0,250,"14,726","1,324",970,96,"75,415","4,401",2020-04-04 06:28:58.309875
,,Netherlands,"16,627",904.0,"1,651",164.0,250,"14,726","1,324",970,96,"75,415","4,401",2020-04-04 06:34:02.606354
,,Netherlands,"16,627",904.0,"1,651",164.0,250,"14,726","1,324",970,96,"75,415","4,401",2020-04-04 06:39:06.983057
,,Netherlands,"16,627",904.0,"1,651",164.0,250,"14,726","1,324",970,96,"75,415","4,401",2020-04-04 06:44:11.357405
,,Netherlands,"16,627",904.0,"1,651",164.0,250,"14,726","1,324",970,96,"75,415","4,401",2020-04-04 06:49:15.701560
,,Netherlands,"16,627",904.0,"1,651",164.0,250,"14,726","1,324",970,96,"75,415","4,401",2020-04-04 06:54:19.988720
,,Netherlands,"16,627",904.0,"1,651",164.0,250,"14,726","1,324",970,96,"75,415","4,401",2020-04-04 06:59:24.371691
