Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,39.0,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 00:58:18.013389
39.0,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 00:58:18.013389
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 01:04:27.267094
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 01:09:31.910915
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 01:14:36.356913
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 01:19:40.873966
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 01:24:44.773985
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 01:29:48.924870
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 01:34:53.046987
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 01:39:57.245044
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 01:45:01.224374
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 01:50:05.334452
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 01:55:09.724467
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 02:00:13.762728
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 02:05:17.933671
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 02:10:21.490892
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 02:15:25.654397
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 02:20:29.781667
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 02:25:33.961495
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 02:30:38.021814
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 02:35:42.166126
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 02:40:46.240392
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 02:45:50.338725
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 02:50:54.535026
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 02:55:58.704356
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 03:01:02.862380
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 03:06:06.499314
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 03:11:10.980734
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 03:16:15.187790
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 03:21:19.365517
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 03:26:23.610950
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 03:31:27.856370
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 03:36:32.110722
,,Panama,"1,673",,41,,10,"1,622",50,388,10,"7,333","1,700",2020-04-04 03:41:36.371017
