Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,26.0,Poland,"3,383",,71,,56,"3,256",50,89,2,"66,938","1,769",2020-04-04 00:58:18.013389
26.0,,Poland,"3,383",,71,,56,"3,256",50,89,2,"66,938","1,769",2020-04-04 00:58:18.013389
,,Poland,"3,383",,71,,56,"3,256",50,89,2,"66,938","1,769",2020-04-04 01:04:27.267094
,,Poland,"3,383",,71,,56,"3,256",50,89,2,"66,938","1,769",2020-04-04 01:09:31.910915
,,Poland,"3,383",,71,,56,"3,256",50,89,2,"66,938","1,769",2020-04-04 01:14:36.356913
,,Poland,"3,383",,71,,56,"3,256",50,89,2,"66,938","1,769",2020-04-04 01:19:40.873966
,,Poland,"3,383",,71,,56,"3,256",50,89,2,"66,938","1,769",2020-04-04 01:24:44.773985
,,Poland,"3,383",,71,,56,"3,256",50,89,2,"66,938","1,769",2020-04-04 01:29:48.924870
,,Poland,"3,383",,71,,56,"3,256",50,89,2,"66,938","1,769",2020-04-04 01:34:53.046987
,,Poland,"3,383",,71,,56,"3,256",50,89,2,"66,938","1,769",2020-04-04 01:39:57.245044
,,Poland,"3,383",,71,,56,"3,256",50,89,2,"66,938","1,769",2020-04-04 01:45:01.224374
,,Poland,"3,383",,71,,56,"3,256",50,89,2,"66,938","1,769",2020-04-04 01:50:05.334452
,,Poland,"3,383",,71,,56,"3,256",50,89,2,"66,938","1,769",2020-04-04 01:55:09.724467
,,Poland,"3,383",,71,,56,"3,256",50,89,2,"66,938","1,769",2020-04-04 02:00:13.762728
,,Poland,"3,383",,71,,56,"3,256",50,89,2,"66,938","1,769",2020-04-04 02:05:17.933671
,,Poland,"3,383",,71,,56,"3,256",50,89,2,"66,938","1,769",2020-04-04 02:10:21.490892
,,Poland,"3,383",,71,,116,"3,196",50,89,2,"66,938","1,769",2020-04-04 02:15:25.654397
,,Poland,"3,383",,71,,116,"3,196",50,89,2,"66,938","1,769",2020-04-04 02:20:29.781667
