Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,23.0,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 00:58:18.013389
23.0,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 00:58:18.013389
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 01:04:27.267094
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 01:09:31.910915
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 01:14:36.356913
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 01:19:40.873966
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 01:24:44.773985
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 01:29:48.924870
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 01:34:53.046987
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 01:39:57.245044
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 01:45:01.224374
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 01:50:05.334452
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 01:55:09.724467
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 02:00:13.762728
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 02:05:17.933671
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 02:10:21.490892
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 02:15:25.654397
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 02:20:29.781667
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 02:25:33.961495
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 02:30:38.021814
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 02:35:42.166126
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 02:40:46.240392
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 02:45:50.338725
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 02:50:54.535026
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 02:55:58.704356
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 03:01:02.862380
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 03:06:06.499314
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 03:11:10.980734
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 03:16:15.187790
,,Russia,"4,149",,34,,281,"3,834",8,28,0.2,"575,000","3,940",2020-04-04 03:21:19.365517
,,Russia,"4,731",582.0,43,9.0,333,"4,355",8,32,0.3,"639,000","4,379",2020-04-04 03:26:23.610950
,,Russia,"4,731",582.0,43,9.0,333,"4,355",8,32,0.3,"639,000","4,379",2020-04-04 03:31:27.856370
,,Russia,"4,731",582.0,43,9.0,333,"4,355",8,32,0.3,"639,000","4,379",2020-04-04 03:36:32.110722
,,Russia,"4,731",582.0,43,9.0,333,"4,355",8,32,0.3,"639,000","4,379",2020-04-04 03:41:36.371017
,,Russia,"4,731",582.0,43,9.0,333,"4,355",8,32,0.3,"639,000","4,379",2020-04-04 03:46:40.544393
,,Russia,"4,731",582.0,43,9.0,333,"4,355",8,32,0.3,"639,000","4,379",2020-04-04 03:51:44.811673
,,Russia,"4,731",582.0,43,9.0,333,"4,355",8,32,0.3,"639,000","4,379",2020-04-04 03:56:49.119949
,,Russia,"4,731",582.0,43,9.0,333,"4,355",8,32,0.3,"639,000","4,379",2020-04-04 04:01:53.476810
,,Russia,"4,731",582.0,43,9.0,333,"4,355",8,32,0.3,"639,000","4,379",2020-04-04 04:06:57.968253
,,Russia,"4,731",582.0,43,9.0,333,"4,355",8,32,0.3,"639,000","4,379",2020-04-04 04:12:01.739508
,,Russia,"4,731",582.0,43,9.0,333,"4,355",8,32,0.3,"639,000","4,379",2020-04-04 04:17:05.957812
,,Russia,"4,731",582.0,43,9.0,333,"4,355",8,32,0.3,"639,000","4,379",2020-04-04 04:22:10.183780
,,Russia,"4,731",582.0,43,9.0,333,"4,355",8,32,0.3,"639,000","4,379",2020-04-04 04:27:14.462893
,,Russia,"4,731",582.0,43,9.0,333,"4,355",8,32,0.3,"639,000","4,379",2020-04-04 04:32:18.743769
,,Russia,"4,731",582.0,43,9.0,333,"4,355",8,32,0.3,"639,000","4,379",2020-04-04 04:37:22.958682
,,Russia,"4,731",582.0,43,9.0,333,"4,355",8,32,0.3,"639,000","4,379",2020-04-04 04:42:27.210307
,,Russia,"4,731",582.0,43,9.0,333,"4,355",8,32,0.3,"639,000","4,379",2020-04-04 04:47:31.516070
,,Russia,"4,731",582.0,43,9.0,333,"4,355",8,32,0.3,"639,000","4,379",2020-04-04 04:52:35.776560
,,Russia,"4,731",582.0,43,9.0,333,"4,355",8,32,0.3,"639,000","4,379",2020-04-04 04:57:40.142831
