Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,14.0,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 00:58:18.013389
14.0,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 00:58:18.013389
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 01:04:27.267094
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 01:09:31.910915
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 01:14:36.356913
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 01:19:40.873966
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 01:24:44.773985
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 01:29:48.924870
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 01:34:53.046987
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 01:39:57.245044
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 01:45:01.224374
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 01:50:05.334452
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 01:55:09.724467
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 02:00:13.762728
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 02:05:17.933671
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 02:10:21.490892
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 02:15:25.654397
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 02:20:29.781667
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 02:25:33.961495
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 02:30:38.021814
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 02:35:42.166126
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 02:40:46.240392
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 02:45:50.338725
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 02:50:54.535026
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 02:55:58.704356
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 03:01:02.862380
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 03:06:06.499314
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 03:11:10.980734
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 03:16:15.187790
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 03:21:19.365517
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 03:26:23.610950
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 03:31:27.856370
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 03:36:32.110722
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 03:41:36.371017
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 03:46:40.544393
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 03:51:44.811673
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 03:56:49.119949
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 04:01:53.476810
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 04:06:57.968253
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 04:12:01.739508
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 04:17:05.957812
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 04:22:10.183780
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 04:27:14.462893
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 04:32:18.743769
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 04:37:22.958682
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 04:42:27.210307
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 04:47:31.516070
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 04:52:35.776560
,,S. Korea,"10,156",94.0,177,3.0,"6,325","3,654",55,198,3,"455,032","8,875",2020-04-04 04:57:40.142831
