Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,58.0,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 00:58:18.013389
58.0,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 00:58:18.013389
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 01:04:27.267094
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 01:09:31.910915
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 01:14:36.356913
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 01:19:40.873966
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 01:24:44.773985
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 01:29:48.924870
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 01:34:53.046987
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 01:39:57.245044
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 01:45:01.224374
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 01:50:05.334452
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 01:55:09.724467
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 02:00:13.762728
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 02:05:17.933671
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 02:10:21.490892
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 02:15:25.654397
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 02:20:29.781667
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 02:25:33.961495
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 02:30:38.021814
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 02:35:42.166126
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 02:40:46.240392
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 02:45:50.338725
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 02:50:54.535026
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 02:55:58.704356
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 03:01:02.862380
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 03:06:06.499314
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 03:11:10.980734
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 03:16:15.187790
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 03:21:19.365517
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 03:26:23.610950
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 03:31:27.856370
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 03:36:32.110722
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 03:41:36.371017
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 03:46:40.544393
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 03:51:44.811673
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 03:56:49.119949
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 04:01:53.476810
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 04:06:57.968253
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 04:12:01.739508
,,Slovenia,934,,20,,70,844,31,449,10,"25,921","12,468",2020-04-04 04:17:05.957812
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 04:22:10.183780
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 04:27:14.462893
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 04:32:18.743769
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 04:37:22.958682
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 04:42:27.210307
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 04:47:31.516070
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 04:52:35.776560
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 04:57:40.142831
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 05:02:44.500676
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 05:07:48.618312
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 05:12:52.886542
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 05:17:57.204328
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 05:23:01.682765
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 05:28:06.060275
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 05:33:10.486081
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 05:38:14.828330
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 05:43:19.177383
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 05:48:23.453790
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 05:53:27.755756
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 05:58:32.143548
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 06:03:36.457601
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 06:08:40.964568
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 06:13:45.300584
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 06:18:49.713431
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 06:23:53.862539
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 06:28:58.309875
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 06:34:02.606354
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 06:39:06.983057
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 06:44:11.357405
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 06:49:15.701560
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 06:54:19.988720
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 06:59:24.371691
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 07:04:28.777480
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 07:09:33.095962
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 07:14:37.559243
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 07:19:41.901833
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 07:24:46.114033
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 07:29:50.587466
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 07:34:54.877214
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 07:39:59.188119
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 07:45:03.498819
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 07:50:07.872567
,,Slovenia,977,43.0,22,2.0,70,885,31,470,11,"27,109","13,040",2020-04-04 07:55:12.158356
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 08:00:16.597732
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 08:05:21.054389
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 08:10:25.598047
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 08:15:30.025858
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 08:20:34.416416
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 08:25:38.990689
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 08:30:43.420659
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 08:35:47.870639
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 08:40:52.361130
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 08:45:56.719918
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 08:51:00.980276
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 08:56:05.342012
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 09:01:09.974928
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 09:06:14.215607
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 09:11:18.523344
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 09:16:23.141165
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 09:21:27.562783
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 09:26:31.868044
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 09:31:36.275953
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 09:36:40.657518
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 09:41:45.085791
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 09:46:50.458957
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 09:51:55.007261
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 09:56:59.529333
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 10:02:04.020390
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 10:07:08.822708
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 10:12:13.128091
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 10:17:17.807501
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 10:22:21.728466
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 10:27:26.261627
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 10:32:31.199924
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 10:37:35.603730
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 10:42:39.950827
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 10:47:44.444104
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 10:52:48.903519
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 10:57:53.372188
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 11:02:57.837668
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 11:08:02.444459
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 11:13:06.966926
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 11:18:11.457363
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 11:23:15.927821
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 11:28:20.676651
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 11:33:25.153565
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 11:38:29.645101
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 11:43:34.277537
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 11:48:39.162063
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 11:53:43.636590
,,Slovenia,977,43.0,22,2.0,79,876,31,470,11,"27,109","13,040",2020-04-04 11:58:48.161075
