Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,171.0,Suriname,10,,1,,,9,,17,2,,,2020-04-04 00:58:18.013389
171.0,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 00:58:18.013389
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 01:04:27.267094
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 01:09:31.910915
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 01:14:36.356913
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 01:19:40.873966
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 01:24:44.773985
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 01:29:48.924870
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 01:34:53.046987
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 01:39:57.245044
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 01:45:01.224374
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 01:50:05.334452
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 01:55:09.724467
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 02:00:13.762728
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 02:05:17.933671
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 02:10:21.490892
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 02:15:25.654397
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 02:20:29.781667
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 02:25:33.961495
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 02:30:38.021814
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 02:35:42.166126
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 02:40:46.240392
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 02:45:50.338725
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 02:50:54.535026
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 02:55:58.704356
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 03:01:02.862380
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 03:06:06.499314
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 03:11:10.980734
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 03:16:15.187790
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 03:21:19.365517
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 03:26:23.610950
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 03:31:27.856370
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 03:36:32.110722
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 03:41:36.371017
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 03:46:40.544393
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 03:51:44.811673
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 03:56:49.119949
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 04:01:53.476810
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 04:06:57.968253
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 04:12:01.739508
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 04:17:05.957812
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 04:22:10.183780
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 04:27:14.462893
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 04:32:18.743769
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 04:37:22.958682
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 04:42:27.210307
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 04:47:31.516070
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 04:52:35.776560
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 04:57:40.142831
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 05:02:44.500676
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 05:07:48.618312
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 05:12:52.886542
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 05:17:57.204328
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 05:23:01.682765
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 05:28:06.060275
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 05:33:10.486081
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 05:38:14.828330
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 05:43:19.177383
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 05:48:23.453790
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 05:53:27.755756
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 05:58:32.143548
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 06:03:36.457601
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 06:08:40.964568
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 06:13:45.300584
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 06:18:49.713431
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 06:23:53.862539
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 06:28:58.309875
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 06:34:02.606354
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 06:39:06.983057
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 06:44:11.357405
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 06:49:15.701560
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 06:54:19.988720
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 06:59:24.371691
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 07:04:28.777480
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 07:09:33.095962
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 07:14:37.559243
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 07:19:41.901833
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 07:24:46.114033
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 07:29:50.587466
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 07:34:54.877214
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 07:39:59.188119
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 07:45:03.498819
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 07:50:07.872567
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 07:55:12.158356
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 08:00:16.597732
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 08:05:21.054389
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 08:10:25.598047
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 08:15:30.025858
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 08:20:34.416416
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 08:25:38.990689
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 08:30:43.420659
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 08:35:47.870639
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 08:40:52.361130
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 08:45:56.719918
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 08:51:00.980276
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 08:56:05.342012
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 09:01:09.974928
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 09:06:14.215607
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 09:11:18.523344
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 09:16:23.141165
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 09:21:27.562783
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 09:26:31.868044
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 09:31:36.275953
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 09:36:40.657518
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 09:41:45.085791
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 09:46:50.458957
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 09:51:55.007261
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 09:56:59.529333
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 10:02:04.020390
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 10:07:08.822708
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 10:12:13.128091
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 10:17:17.807501
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 10:22:21.728466
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 10:27:26.261627
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 10:32:31.199924
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 10:37:35.603730
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 10:42:39.950827
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 10:47:44.444104
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 10:52:48.903519
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 10:57:53.372188
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 11:02:57.837668
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 11:08:02.444459
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 11:13:06.966926
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 11:18:11.457363
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 11:23:15.927821
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 11:28:20.676651
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 11:33:25.153565
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 11:38:29.645101
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 11:43:34.277537
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 11:48:39.162063
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 11:53:43.636590
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 11:58:48.161075
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 12:03:52.440826
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 12:08:56.902695
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 12:14:01.388383
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 12:19:05.961492
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 12:24:10.542887
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 12:29:15.162136
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 12:34:19.752827
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 12:39:24.328821
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 12:44:28.911935
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 12:49:33.402634
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 12:54:38.003163
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 12:59:42.611535
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 13:04:47.159136
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 13:09:51.638941
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 13:14:56.171918
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 13:20:00.671371
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 13:25:05.163948
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 13:30:09.566612
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 13:35:14.086651
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 13:40:18.474848
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 13:45:22.835783
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 13:50:27.432455
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 13:55:31.784464
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 14:00:36.582195
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 14:05:40.961049
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 14:10:45.323472
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 14:15:49.628389
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 14:20:54.102134
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 14:25:58.735552
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 14:31:03.531384
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 14:36:08.023256
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 14:41:12.592294
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 14:46:17.126649
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 14:51:21.543164
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 14:56:26.129525
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 15:01:30.527910
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 15:06:35.180338
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 15:11:39.614652
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 15:16:44.272920
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 15:21:48.811498
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 15:26:53.351172
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 15:31:58.300935
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 15:37:03.084842
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 15:42:07.618716
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 15:47:12.179422
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 15:52:16.808069
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 15:57:21.376369
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 16:02:26.109794
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 16:07:30.695831
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 16:12:35.321653
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 16:17:40.065136
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 16:22:44.528926
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 16:27:49.206165
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 16:32:53.749559
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 16:37:58.338058
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 16:43:02.922392
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 16:48:07.593338
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 16:53:12.409226
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 16:58:16.854803
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 17:03:21.677699
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 17:08:26.308967
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 17:13:30.929203
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 17:18:35.466199
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 17:23:40.150059
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 17:28:44.696201
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 17:33:49.390684
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 17:38:53.973061
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 17:43:58.507428
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 17:49:03.036864
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 17:54:08.232524
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 17:59:12.679497
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 18:04:17.296899
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 18:09:22.015243
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 18:14:26.855432
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 18:19:31.619889
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 18:24:36.267763
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 18:29:41.034236
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 18:34:45.628035
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 18:39:50.277150
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 18:44:54.905896
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 18:49:59.604382
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 18:55:04.243883
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 19:00:08.754891
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 19:05:13.461319
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 19:10:18.193111
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 19:15:22.852596
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 19:20:27.418055
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 19:25:32.123623
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 19:30:36.767737
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 19:35:41.565069
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 19:40:46.155744
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 19:45:50.821780
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 19:50:55.505018
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 19:56:00.029898
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 20:01:04.714115
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 20:06:09.562833
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 20:11:14.244764
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 20:16:18.887515
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 20:21:23.527924
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 20:26:27.677436
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 20:31:33.371636
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 20:37:08.829466
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 20:42:27.224088
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 20:47:37.951606
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 20:52:45.313407
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 20:58:07.390210
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 21:03:25.733951
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 21:08:51.344702
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 21:14:26.361102
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 21:20:04.719316
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 21:25:35.669936
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 21:31:07.128279
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 21:36:40.334037
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 21:42:03.662261
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 21:47:29.960691
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 21:52:46.232825
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 21:58:02.938339
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 22:03:16.262650
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 22:08:35.273468
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 22:13:54.887579
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 22:19:27.993830
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 22:24:41.755311
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 22:30:12.827463
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 22:35:35.188419
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 22:40:40.156548
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 22:45:45.215256
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 22:50:49.946884
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 22:55:54.807754
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 23:00:59.549426
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 23:06:04.249475
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 23:11:09.067661
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 23:16:13.805916
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 23:21:18.540571
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 23:26:23.268784
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 23:31:28.026557
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 23:36:32.641294
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 23:41:37.448483
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 23:46:42.125187
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 23:51:46.851787
,,Suriname,10,,1,,,9,,17,2,,,2020-04-04 23:56:51.629891
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 00:01:56.430065
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 00:07:01.274738
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 00:12:05.878973
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 00:17:10.583482
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 00:22:15.521168
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 00:27:20.308073
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 00:32:25.078472
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 00:37:29.925265
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 00:42:34.564643
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 00:47:39.355628
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 00:52:44.054701
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 00:57:48.792099
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 01:02:53.604868
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 01:07:58.485123
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 01:13:03.248145
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 01:18:08.203938
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 01:23:12.951615
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 01:28:17.727697
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 01:33:22.459594
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 01:38:27.371396
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 01:43:32.142919
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 01:48:36.920855
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 01:53:41.761427
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 01:58:46.517122
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 02:03:51.229050
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 02:08:56.018221
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 02:14:00.789863
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 02:19:06.854099
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 02:24:11.918429
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 02:29:16.774978
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 02:34:21.524277
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 02:39:26.334154
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 02:44:31.024730
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 02:49:35.918885
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 02:54:40.577947
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 02:59:45.346827
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 03:04:50.186931
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 03:09:54.955534
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 03:14:59.706999
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 03:20:04.520915
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 03:25:09.375290
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 03:30:14.195441
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 03:35:19.009968
,,Suriname,10,,1,,,9,,17,2,,,2020-04-05 03:40:23.868149
