Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,9.0,Switzerland,"19,606",,591,,"4,846","14,169",348,"2,265",68,"139,330","16,099",2020-04-04 00:58:18.013389
9.0,,Switzerland,"19,606",,591,,"4,846","14,169",348,"2,265",68,"139,330","16,099",2020-04-04 00:58:18.013389
,,Switzerland,"19,606",,591,,"4,846","14,169",348,"2,265",68,"145,780","16,844",2020-04-04 01:04:27.267094
,,Switzerland,"19,606",,591,,"4,846","14,169",348,"2,265",68,"145,780","16,844",2020-04-04 01:09:31.910915
,,Switzerland,"19,606",,591,,"4,846","14,169",348,"2,265",68,"145,780","16,844",2020-04-04 01:14:36.356913
,,Switzerland,"19,606",,591,,"4,846","14,169",348,"2,265",68,"145,780","16,844",2020-04-04 01:19:40.873966
,,Switzerland,"19,606",,591,,"4,846","14,169",348,"2,265",68,"145,780","16,844",2020-04-04 01:24:44.773985
,,Switzerland,"19,606",,591,,"4,846","14,169",348,"2,265",68,"145,780","16,844",2020-04-04 01:29:48.924870
,,Switzerland,"19,606",,591,,"4,846","14,169",348,"2,265",68,"145,780","16,844",2020-04-04 01:34:53.046987
,,Switzerland,"19,606",,591,,"4,846","14,169",348,"2,265",68,"145,780","16,844",2020-04-04 01:39:57.245044
,,Switzerland,"19,606",,591,,"4,846","14,169",348,"2,265",68,"145,780","16,844",2020-04-04 01:45:01.224374
,,Switzerland,"19,606",,591,,"4,846","14,169",348,"2,265",68,"145,780","16,844",2020-04-04 01:50:05.334452
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 01:55:09.724467
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 02:00:13.762728
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 02:05:17.933671
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 02:10:21.490892
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 02:15:25.654397
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 02:20:29.781667
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 02:25:33.961495
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 02:30:38.021814
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 02:35:42.166126
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 02:40:46.240392
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 02:45:50.338725
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 02:50:54.535026
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 02:55:58.704356
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 03:01:02.862380
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 03:06:06.499314
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 03:11:10.980734
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 03:16:15.187790
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 03:21:19.365517
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 03:26:23.610950
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 03:31:27.856370
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 03:36:32.110722
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 03:41:36.371017
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 03:46:40.544393
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 03:51:44.811673
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 03:56:49.119949
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 04:01:53.476810
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 04:06:57.968253
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 04:12:01.739508
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 04:17:05.957812
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 04:22:10.183780
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 04:27:14.462893
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 04:32:18.743769
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 04:37:22.958682
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 04:42:27.210307
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 04:47:31.516070
,,Switzerland,"19,702",96.0,604,13.0,"4,846","14,252",348,"2,276",70,"145,780","16,844",2020-04-04 04:52:35.776560
