Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,158.0,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 00:58:18.013389
158.0,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 00:58:18.013389
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 01:04:27.267094
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 01:09:31.910915
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 01:14:36.356913
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 01:19:40.873966
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 01:24:44.773985
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 01:29:48.924870
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 01:34:53.046987
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 01:39:57.245044
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 01:45:01.224374
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 01:50:05.334452
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 01:55:09.724467
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 02:00:13.762728
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 02:05:17.933671
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 02:10:21.490892
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 02:15:25.654397
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 02:20:29.781667
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 02:25:33.961495
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 02:30:38.021814
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 02:35:42.166126
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 02:40:46.240392
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 02:45:50.338725
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 02:50:54.535026
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 02:55:58.704356
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 03:01:02.862380
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 03:06:06.499314
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 03:11:10.980734
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 03:16:15.187790
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 03:21:19.365517
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 03:26:23.610950
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 03:31:27.856370
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 03:36:32.110722
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 03:41:36.371017
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 03:46:40.544393
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 03:51:44.811673
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 03:56:49.119949
,,Syria,16,,2,,,14,,0.9,0.1,,,2020-04-04 04:01:53.476810
,,Syria,16,,2,,2.0,12,,0.9,0.1,,,2020-04-04 04:06:57.968253
,,Syria,16,,2,,2.0,12,,0.9,0.1,,,2020-04-04 04:12:01.739508
