Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,1.0,USA,"277,475",314,"7,402",10,"12,283","257,790","5,787",838,22,"1,355,091","4,094",2020-04-04 00:58:18.013389
1.0,,USA,"277,475",314,"7,402",10,"12,283","257,790","5,787",838,22,"1,355,091","4,094",2020-04-04 00:58:18.013389
,,USA,"277,475",314,"7,402",10,"12,283","257,790","5,787",838,22,"1,355,091","4,094",2020-04-04 01:04:27.267094
,,USA,"277,475",314,"7,402",10,"12,283","257,790","5,787",838,22,"1,355,091","4,094",2020-04-04 01:09:31.910915
,,USA,"277,475",314,"7,402",10,"12,283","257,790","5,787",838,22,"1,355,091","4,094",2020-04-04 01:14:36.356913
,,USA,"277,475",314,"7,402",10,"12,283","257,790","5,787",838,22,"1,355,091","4,094",2020-04-04 01:19:40.873966
,,USA,"277,475",314,"7,402",10,"12,283","257,790","5,787",838,22,"1,355,091","4,094",2020-04-04 01:24:44.773985
,,USA,"277,475",314,"7,402",10,"12,283","257,790","5,787",838,22,"1,355,091","4,094",2020-04-04 01:29:48.924870
,,USA,"277,475",314,"7,402",10,"12,283","257,790","5,787",838,22,"1,355,091","4,094",2020-04-04 01:34:53.046987
,,USA,"277,475",314,"7,402",10,"12,283","257,790","5,787",838,22,"1,355,091","4,094",2020-04-04 01:39:57.245044
,,USA,"277,522",361,"7,403",11,"12,283","257,836","5,787",838,22,"1,356,085","4,097",2020-04-04 01:45:01.224374
,,USA,"277,522",361,"7,403",11,"12,283","257,836","5,787",838,22,"1,356,085","4,097",2020-04-04 01:50:05.334452
,,USA,"277,522",361,"7,403",11,"12,283","257,836","5,787",838,22,"1,356,085","4,097",2020-04-04 01:55:09.724467
,,USA,"277,522",361,"7,403",11,"12,283","257,836","5,787",838,22,"1,356,085","4,097",2020-04-04 02:00:13.762728
,,USA,"277,522",361,"7,403",11,"12,283","257,836","5,787",838,22,"1,356,085","4,097",2020-04-04 02:05:17.933671
,,USA,"277,522",361,"7,403",11,"12,283","257,836","5,787",838,22,"1,356,085","4,097",2020-04-04 02:10:21.490892
,,USA,"277,522",361,"7,403",11,"12,283","257,836","5,787",838,22,"1,356,085","4,097",2020-04-04 02:15:25.654397
,,USA,"277,522",361,"7,403",11,"12,283","257,836","5,787",838,22,"1,356,085","4,097",2020-04-04 02:20:29.781667
,,USA,"277,522",361,"7,403",11,"12,283","257,836","5,787",838,22,"1,356,085","4,097",2020-04-04 02:25:33.961495
,,USA,"277,522",361,"7,403",11,"12,283","257,836","5,787",838,22,"1,356,085","4,097",2020-04-04 02:30:38.021814
,,USA,"277,522",361,"7,403",11,"12,283","257,836","5,787",838,22,"1,356,085","4,097",2020-04-04 02:35:42.166126
,,USA,"277,522",361,"7,403",11,"12,283","257,836","5,787",838,22,"1,356,085","4,097",2020-04-04 02:40:46.240392
,,USA,"277,522",361,"7,403",11,"12,283","257,836","5,787",838,22,"1,356,085","4,097",2020-04-04 02:45:50.338725
,,USA,"277,522",361,"7,403",11,"12,283","257,836","5,787",838,22,"1,356,085","4,097",2020-04-04 02:50:54.535026
