Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,82.0,Uruguay,386,,4,,86,296,13,111,1,"4,786","1,378",2020-04-04 00:58:18.013389
82.0,,Uruguay,386,,4,,86,296,13,111,1,"4,786","1,378",2020-04-04 00:58:18.013389
,,Uruguay,386,,4,,86,296,13,111,1,"4,786","1,378",2020-04-04 01:04:27.267094
,,Uruguay,386,,4,,86,296,13,111,1,"4,786","1,378",2020-04-04 01:09:31.910915
,,Uruguay,386,,4,,86,296,13,111,1,"4,786","1,378",2020-04-04 01:14:36.356913
,,Uruguay,386,,4,,86,296,13,111,1,"4,786","1,378",2020-04-04 01:19:40.873966
,,Uruguay,386,,4,,86,296,13,111,1,"4,786","1,378",2020-04-04 01:24:44.773985
,,Uruguay,386,,4,,86,296,13,111,1,"4,786","1,378",2020-04-04 01:29:48.924870
,,Uruguay,386,,4,,86,296,13,111,1,"4,786","1,378",2020-04-04 01:34:53.046987
,,Uruguay,386,,4,,86,296,13,111,1,"4,786","1,378",2020-04-04 01:39:57.245044
,,Uruguay,386,,4,,86,296,13,111,1,"4,786","1,378",2020-04-04 01:45:01.224374
,,Uruguay,386,,4,,86,296,13,111,1,"4,786","1,378",2020-04-04 01:50:05.334452
,,Uruguay,386,,4,,86,296,13,111,1,"4,786","1,378",2020-04-04 01:55:09.724467
,,Uruguay,386,,4,,86,296,13,111,1,"4,786","1,378",2020-04-04 02:00:13.762728
,,Uruguay,386,,4,,86,296,13,111,1,"4,786","1,378",2020-04-04 02:05:17.933671
,,Uruguay,386,,4,,86,296,13,111,1,"4,786","1,378",2020-04-04 02:10:21.490892
,,Uruguay,386,,4,,86,296,13,111,1,"4,786","1,378",2020-04-04 02:15:25.654397
,,Uruguay,386,,4,,86,296,13,111,1,"4,786","1,378",2020-04-04 02:20:29.781667
,,Uruguay,386,,4,,86,296,13,111,1,"4,786","1,378",2020-04-04 02:25:33.961495
,,Uruguay,386,,4,,86,296,13,111,1,"4,786","1,378",2020-04-04 02:30:38.021814
,,Uruguay,386,,4,,86,296,13,111,1,"4,786","1,378",2020-04-04 02:35:42.166126
