Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,0.0,World,"1,117,918","+1,275","59,203",42,"229,000","829,715","39,391",143,7.6,,,2020-04-04 00:58:18.013389
0.0,,World,"1,117,918","+1,275","59,203",42,"229,000","829,715","39,391",143,7.6,,,2020-04-04 00:58:18.013389
,,World,"1,117,928","+1,285","59,201",43,"229,136","829,591","39,394",143,7.6,,,2020-04-04 01:04:27.267094
,,World,"1,117,942","+1,299","59,201",43,"229,145","829,596","39,394",143,7.6,,,2020-04-04 01:09:31.910915
,,World,"1,118,045","+1,402","59,201",43,"229,145","829,699","39,394",143,7.6,,,2020-04-04 01:14:36.356913
,,World,"1,118,045","+1,402","59,201",43,"229,145","829,699","39,394",143,7.6,,,2020-04-04 01:19:40.873966
,,World,"1,118,046","+1,403","59,201",43,"229,151","829,694","39,394",143,7.6,,,2020-04-04 01:24:44.773985
,,World,"1,118,055","+1,412","59,203",45,"229,151","829,701","39,394",143,7.6,,,2020-04-04 01:29:48.924870
,,World,"1,118,059","+1,416","59,206",48,"229,153","829,700","39,404",143,7.6,,,2020-04-04 01:34:53.046987
,,World,"1,118,059","+1,416","59,206",48,"229,153","829,700","39,404",143,7.6,,,2020-04-04 01:39:57.245044
,,World,"1,118,106","+1,463","59,207",49,"229,153","829,746","39,404",143,7.6,,,2020-04-04 01:45:01.224374
,,World,"1,118,106","+1,463","59,207",49,"229,157","829,742","39,404",143,7.6,,,2020-04-04 01:50:05.334452
,,World,"1,118,202","+1,559","59,220",62,"229,157","829,825","39,404",143,7.6,,,2020-04-04 01:55:09.724467
,,World,"1,118,202","+1,559","59,220",62,"229,157","829,825","39,404",143,7.6,,,2020-04-04 02:00:13.762728
,,World,"1,118,221","+1,578","59,220",62,"229,157","829,844","39,404",143,7.6,,,2020-04-04 02:05:17.933671
,,World,"1,118,245","+1,602","59,220",62,"229,157","829,868","39,404",143,7.6,,,2020-04-04 02:10:21.490892
,,World,"1,118,279","+1,636","59,220",62,"229,244","829,815","39,404",143,7.6,,,2020-04-04 02:15:25.654397
,,World,"1,118,304","+1,661","59,221",63,"229,245","829,838","39,404",143,7.6,,,2020-04-04 02:20:29.781667
,,World,"1,118,304","+1,661","59,221",63,"229,245","829,838","39,404",143,7.6,,,2020-04-04 02:25:33.961495
,,World,"1,118,398","+1,755","59,224",66,"229,250","829,924","39,404",143,7.6,,,2020-04-04 02:30:38.021814
,,World,"1,118,559","+1,916","59,226",68,"229,274","830,059","39,406",144,7.6,,,2020-04-04 02:35:42.166126
,,World,"1,118,559","+1,916","59,226",68,"229,274","830,059","39,406",144,7.6,,,2020-04-04 02:40:46.240392
,,World,"1,118,562","+1,919","59,226",68,"229,274","830,062","39,406",144,7.6,,,2020-04-04 02:45:50.338725
,,World,"1,118,562","+1,919","59,226",68,"229,274","830,062","39,406",144,7.6,,,2020-04-04 02:50:54.535026
,,World,"1,118,601","+1,958","59,226",68,"229,278","830,097","39,406",144,7.6,,,2020-04-04 02:55:58.704356
